path,src,zip,member,licence,side,palette
0000177.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,20,5
0000178.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,20,5
0000179.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,22,5
0000180.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,22,5
0000181.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,37,15
0000182.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,34,14
0000183.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,34,8
0000184.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,29,11
0000185.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,46,10
0000186.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,46,8
0000187.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,12
0000188.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,33,14
0000189.png,data/oga3_cut_ccby,2D_Art_00.zip,SpaceshipKit3.png,CC-BY-4.0,34,14
0000190.png,data/oga3_cut_ccby,2D_Art_00.zip,tinytile_0.png,CC-BY-4.0,34,9
0000191.png,data/oga3_cut_ccby,2D_Art_00.zip,vinhaTile2.png,CC-BY-4.0,62,16
0000192.png,data/oga3_cut_ccby,2D_Art_00.zip,npcmalemovedown.png,CC-BY-4.0,64,19
0000193.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,43,437
0000194.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,62,470
0000195.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,34,359
0000196.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,48,439
0000197.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,52,552
0000198.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,49,539
0000199.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,57,651
0000200.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,54,632
0000201.png,data/oga3_cut_ccby,2D_Art_00.zip,braun-bergschaf-bocksprung-f.png,CC-BY-4.0,52,552
